t (s),V (mV)
0,18.9959
1.04,19.01
2.04,18.8672
3.039,18.8583
4.039,18.8536
5.039,18.8485
6.039,18.8006
7.039,18.767
8.039,18.7248
9.039,18.7143
10.039,18.6887
11.039,18.714
12.039,18.6319
13.039,18.5199
14.039,18.451
15.039,18.4975
16.039,18.5941
17.039,18.5811
18.039,18.5807
19.039,18.4221
20.039,18.4159
21.039,18.3666
22.039,18.3247
23.039,18.2956
24.039,18.3105
25.039,18.3177
26.039,18.3264
27.039,18.3333
28.039,18.3212
29.039,18.2772
30.039,18.2415
31.039,18.2397
32.039,18.1617
33.039,18.1004
34.039,18.095
35.039,18.0471
36.039,18.0069
37.039,17.9806
38.039,17.9709
39.039,18.0235
40.039,17.9895
41.039,17.9851
42.039,17.978
43.039,17.9201
44.039,17.9077
45.039,17.8441
46.039,17.9042
47.039,17.8837
48.039,17.891
49.039,17.7559
50.039,17.6688
51.039,17.6759
52.039,17.6637
53.039,17.6253
54.039,17.5682
55.039,17.5621
56.039,17.5277
57.039,17.5114
58.039,17.5131
59.039,17.4996
60.039,17.481
61.039,17.4549
62.039,17.3683
63.039,17.4423
64.039,17.4227
65.039,17.3444
66.039,17.3001
67.039,17.3598
68.039,17.3894
69.039,17.4128
70.039,17.3094
71.039,17.3018
72.039,17.3001
73.039,17.2256
74.039,17.1649
75.039,17.03
76.039,17.0748
77.039,17.0426
78.039,17.0087
79.039,16.9962
80.039,16.9952
81.039,17.0091
82.039,16.9901
83.039,16.9835
84.039,16.9424
85.039,16.9605
86.039,16.8699
87.039,16.8221
88.039,16.7794
89.039,16.7975
90.039,16.7763
91.039,16.8091
92.039,16.8027
93.039,16.7574
94.039,16.7533
95.039,16.7313
96.039,16.6632
97.039,16.6305
98.039,16.6572
99.039,16.5727
100.039,16.6365
101.039,16.6913
102.039,16.6326
103.039,16.5254
104.039,16.5493
105.039,16.6164
106.039,16.4779
107.039,16.4094
108.039,16.4585
109.039,16.4407
110.039,16.4732
111.039,16.3268
112.039,16.4145
113.039,16.3935
114.039,16.32
115.039,16.2855
116.039,16.2532
117.039,16.2331
118.039,16.1857
119.039,16.2147
120.039,16.144
121.039,16.098
122.039,16.0346
123.039,16.0754
124.039,16.0828
125.039,16.0712
126.039,16.1085
127.039,16.1573
128.039,16.0467
129.039,15.9906
130.039,15.9779
131.039,15.9641
132.039,15.9438
133.039,15.992
134.039,15.9374
135.039,15.9134
136.039,15.8161
137.039,15.7266
138.039,15.6873
139.039,15.6896
140.039,15.7634
141.039,15.7205
142.039,15.6178
143.039,15.6971
144.039,15.6801
145.039,15.6194
146.039,15.5594
147.039,15.6409
148.039,15.5793
149.039,15.5631
150.039,15.4903
151.039,15.5417
152.039,15.5819
153.039,15.5412
154.039,15.5227
155.039,15.4006
156.039,15.4895
157.039,15.5512
158.039,15.6112
159.039,15.5748
160.039,15.5687
161.039,15.4149
162.039,15.4241
163.039,15.4054
164.039,15.3524
165.039,15.3761
166.039,15.3031
167.039,15.2668
168.039,15.1972
169.039,15.1872
170.039,15.2081
171.039,15.2334
172.039,15.1558
173.039,15.1387
174.039,15.1684
175.039,15.1161
176.039,15.0774
177.039,15.1381
178.039,15.0911
179.039,15.087
180.039,14.9826
181.039,14.9847
182.039,14.9482
183.039,14.94
184.039,14.9561
185.039,14.8974
186.039,14.8742
187.039,14.9093
188.039,14.8813
189.039,14.7937
190.039,14.7988
191.039,14.7863
192.039,14.7966
193.039,14.7318
194.039,14.6605
195.039,14.6526
196.039,14.678
197.039,14.6407
198.039,14.5905
199.039,14.6107
200.039,14.632
201.039,14.5176
202.039,14.6007
203.039,14.4701
204.039,14.4702
205.039,14.438
206.039,14.4832
207.039,14.5011
208.039,14.4636
209.039,14.4211
210.039,14.4558
211.039,14.444
212.039,14.3664
213.039,14.3722
214.039,14.3034
215.039,14.257
216.039,14.197
217.039,14.1827
218.039,14.2491
219.039,14.2831
220.039,14.2546
221.039,14.1804
222.039,14.1523
223.039,14.1421
224.039,14.1099
225.039,14.0621
226.039,14.0857
227.039,14.0586
228.039,14.0543
229.039,14.008
230.039,14.0937
231.039,13.9934
232.039,13.966
233.039,14.0378
234.039,13.9825
235.039,13.9416
236.039,13.8958
237.039,13.874
238.039,13.8259
239.039,13.841
240.039,13.8258
241.039,13.8625
242.039,13.8496
243.039,13.8345
244.039,13.7555
245.039,13.732
246.039,13.7048
247.039,13.6592
248.039,13.6957
249.039,13.6881
250.039,13.7318
251.039,13.6782
252.039,13.6881
253.039,13.4765
254.039,13.4991
255.039,13.5577
256.039,13.5383
257.039,13.5668
258.039,13.5934
259.039,13.6057
260.039,13.5146
261.039,13.4423
262.039,13.4755
263.039,13.4558
264.039,13.4305
265.039,13.4569
266.039,13.5152
267.039,13.3822
268.039,13.2919
269.039,13.2464
270.039,13.2997
271.039,13.2645
272.039,13.2438
273.039,13.2175
274.039,13.1669
275.039,13.1695
276.039,13.1711
277.039,13.2225
278.039,13.1933
279.039,13.1647
280.039,13.1894
281.039,13.1532
282.039,13.191
283.039,13.1739
284.039,13.1182
285.039,13.0314
286.039,13.0564
287.039,13.0691
288.039,13.0395
289.039,13.1509
290.039,13.1444
291.039,13.0675
292.039,13.0387
293.039,12.9528
294.039,12.8526
295.039,12.8086
296.039,12.8708
297.039,12.9183
298.039,12.9069
299.039,12.8889
300.039,12.8965
301.039,12.8772
302.039,12.92
303.039,12.8601
304.039,12.8622
305.039,12.7974
306.039,12.7029
307.039,12.7245
308.039,12.7339
309.039,12.6982
310.039,12.6667
311.039,12.7247
312.039,12.6843
313.039,12.6168
314.039,12.6381
315.039,12.5909
316.039,12.6007
317.039,12.6184
318.039,12.526
319.039,12.5348
320.039,12.4951
321.039,12.4674
322.039,12.4772
323.039,12.4504
324.039,12.4675
325.039,12.4185
326.039,12.4096
327.039,12.3913
328.039,12.4117
329.039,12.3987
330.039,12.4247
331.039,12.3565
332.039,12.3752
333.039,12.335
334.039,12.3884
335.039,12.362
336.039,12.3197
337.039,12.3061
338.039,12.2739
339.039,12.2755
340.039,12.2577
341.039,12.2978
342.039,12.2709
343.039,12.2853
344.039,12.217
345.039,12.2084
346.039,12.1857
347.039,12.2016
348.039,12.2391
349.039,12.229
350.039,12.2274
351.039,12.2102
352.039,12.1622
353.039,12.1423
354.039,12.1242
355.039,12.101
356.039,12.0954
357.039,12.1265
358.039,12.115
359.039,12.0377
360.039,12.0473
361.039,12.0445
362.039,12.0014
363.039,11.9323
364.039,11.9038
365.039,11.8803
366.039,11.8915
367.039,11.9581
368.039,11.9619
369.039,11.9047
370.039,11.9241
371.039,11.9435
372.039,11.9202
373.039,11.873
374.039,11.8804
375.039,11.9345
376.039,11.9308
377.039,11.8477
378.039,11.7898
379.039,11.7765
380.039,11.8403
381.039,11.8562
382.039,11.8616
383.039,11.7969
384.039,11.787
385.039,11.8011
386.039,11.6878
387.039,11.6147
388.039,11.6674
389.039,11.5647
390.039,11.5877
391.039,11.549
392.039,11.4917
393.039,11.4894
394.039,11.5207
395.039,11.5037
396.039,11.5116
397.039,11.4915
398.039,11.4258
399.039,11.4247
400.039,11.4425
401.039,11.4563
402.039,11.4892
403.039,11.4089
404.039,11.3398
405.039,11.3323
406.039,11.2946
407.039,11.3572
408.039,11.2988
409.039,11.2603
410.039,11.3643
411.039,11.2669
